department,department code,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
Civil and Environmental Engineering,ENGRCEE,130L,Soil Mechanics Laboratory,1,,Laboratory procedures of soil testing for engineering problems.  Materials fee.,,Civil Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,,,,ENGRCEE 130,
Civil and Environmental Engineering,ENGRCEE,149,Introduction to Earthquake Engineering,4,,"Plate tectonics. Structural dynamics. Earthquake magnitude, intensity, and frequency. Seismic damage to structures. Earthquake load prediction including response spectra, normal mode, and direct integration techniques. The basis of building code earthquake load requirements for buildings.",ENGRCEE 11 and ENGRCEE 20 and ENGRCEE 151A,Civil Engineering Majors have first consideration for enrollment.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,150,Mechanics of Materials,4,,"Stresses and strains, strain-stress diagrams, axial deformations, torsion, bending and shear stresses in beams, shear force and bending moment diagrams, combined stresses, principal stresses, Mohr's circle, deflection of beams, columns.",ENGRCEE 30 or ENGRMAE 30 or ENGR 30. ENGRCEE 30 with a grade of C- or better. ENGRMAE 30 with a grade of C- or better. ENGR 30 with a grade of C- or better,Civil Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,"ENGR 150, ENGRMAE 150.",,,,,
Civil and Environmental Engineering,ENGRCEE,150L,Mechanics of Materials Laboratory,1,,Experimental methods and fundamentals for mechanics of materials analysis.  Materials fee.,,Civil Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,ENGRMAE 150L.,,,,,(ENGRCEE 30 or ENGRMAE 30 or ENGR 30) and ENGRCEE 150. ENGRCEE 30 with a grade of C- or better. ENGRMAE 30 with a grade of C- or better. ENGR 30 with a grade of C- or better
Civil and Environmental Engineering,ENGRCEE,151A,Structural Analysis,4,,Fundamentals of structural analysis and loading. Deformation of statically determinate and indeterminate structures. Influence lines. Structural systems.,ENGRCEE 150 or ENGRMAE 150,Civil Engineering Majors have first consideration for enrollment.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,151B,Structural Timber Design,4,,"Design of timber structures. Beams, columns, beam-columns, roof, and connections.",ENGRCEE 151A,Civil Engineering Majors have first consideration for enrollment.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,151C,Reinforced Concrete Design,4,,Ultimate strength design. Design of reinforced concrete beam sections. Design for shear and deflection. Design of columns. Design of isolated and combined footings. Laboratory sessions.   Materials fee.,ENGRCEE 151A,Civil Engineering Majors have first consideration for enrollment.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,152,Computer Methods in Structural Analysis and Design,4,,"Matrix techniques for indeterminate framed structures. Computer implementation using the stiffness method. Software packages for design of reinforced concrete, steel, and/or timber structures.",ENGRCEE 151C,Civil Engineering Majors have first consideration for enrollment.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,155,Structural Steel Design,4,,"Design in steel of tension members, beams, columns, welded and bolted connections; eccentrically loaded and moment resistant joints; plate girders. Plastic design; load and resistance factor design. Composite construction; introduction to computer-aided design.",ENGRCEE 151A,Civil Engineering Majors have first consideration for enrollment.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,156,Foundation Design,4,,"Applications of soil mechanics principles to the analysis and design of shallow foundations, retaining walls, pile foundations, and braced cuts. Design criteria: bearing capacity, working loads and tolerable settlements, structural integrity of the foundation element. Damage from construction operations.",ENGRCEE 130 and ENGRCEE 151C,Civil Engineering Majors have first consideration for enrollment.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,160,Environmental Processes,4,,"Introduction to environmental processes in air and water, mass balances, and transport phenomena. Fundamentals of water-quality engineering including water and wastewater treatment.",(CHEM 1B or CHEM H2B) and ENGRCEE 170,Civil Engineering Majors have first consideration for enrollment. Chemical Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,162,Introduction to Environmental Chemistry,4,,"Basic concepts from general, physical, and analytical chemistry as they relate to environmental engineering. Particular emphasis on the fundamentals of equilibrium and kinetics as they apply to acid-base chemistry, gas solubility, and redox reactions. Laboratory sessions.  Materials fee.",(ENGR 1A or CHEM 1A or CHEM H2A) and (CHEM 1B or CHEM H2B) and (CHEM 1LC or CHEM 1LE or CHEM H2LB or CHEM M2LB) and (CHEM 51A or CHEM H52A),Chemical Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,163,Wastewater Treatment Process Design,4,,"Design of biological treatment processes. Topics include attached and suspended growth, aeration, anaerobic systems, process control, and economics. Design projects included.   Materials fee.",ENGRCEE 160,Civil Engineering Majors have first consideration for enrollment. Chemical Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,164,Carbon and Energy Footprint Analysis,4,,"Process design for wastewater treatment. Mass- and energy-balance analysis applied to water and wastewater treatment systems. Case studies include analysis of water supply, treatment, reclamation, and reuse.",ENGRCEE 163 or ENGRCEE 165,Civil Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,ENGRCEE 264.,,,,
Civil and Environmental Engineering,ENGRCEE,165,Physical-Chemical Treatment Processes,4,,"Theory and dynamics of physical and chemical separation processes in water and wastewater treatment. Topics include coagulation, sedimentation, filtration, gas-transfer, membrane separations, and adsorption.",ENGRCEE 160 and (ENGRMAE 91 or CBE 40C),Civil Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,ENGRCEE 265.,,,,
Civil and Environmental Engineering,ENGRCEE,169,Environmental Microbiology for Engineers,4,,"Fundamental and applied principles of microbiology. Structures and functions of microorganisms, the microbiology of water, wastewater and soil used in environmental engineering, and the impact of microorganisms on human and environmental health.",ENGRCEE 160,Civil Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,170,Introduction to Fluid Mechanics,4,,"Thermodynamic and mechanical fluid properties; fluid statics; control volume and differential approaches for mass, momentum, and energy; dimensional analysis and similarity.",PHYSICS 7C,Civil Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,,,,MATH 2E and ENGRCEE 20,
Civil and Environmental Engineering,ENGRCEE,171,Water Resources Engineering,4,,"Principles governing the analysis and design of water resource systems including pressurized pipelines, pipe networks, channels, and ground water. Coverage of fluid mass, momentum and energy conservation, flow resistance, and related laboratory measurements in different systems. Materials fee.",ENGRCEE 170,Chemical Engineering Majors have first consideration for enrollment. Civil Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,172,Groundwater Hydrology,4,,"Topics include conservation of fluid mass, storage properties of porous media, matrix compressibility, boundary conditions, flow nets, well hydraulics, groundwater chemistry, and solute transport. Design projects and computer applications included.",ENGRCEE 170 or ENGRMAE 130A or CBE 120A,Civil Engineering Majors have first consideration for enrollment. Chemical Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,ENGRCEE 272.,,,,
Civil and Environmental Engineering,ENGRCEE,173,Watershed Modeling,4,,"Basic principles of hydrologic modeling are practiced. Concepts of watershed delineation, land use change impact, design studies, and GIS tools are discussed. Focus on the USACE (HEC) software tools (HEC-HMS, and HEC-RAS) along with their associated GIS interfaces.",ENGRCEE 170 and ENGRCEE 176,Civil Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,ENGRCEE 273.,,,,
Civil and Environmental Engineering,ENGRCEE,176,Hydrology,4,,"Elements of the hydrologic cycle including precipitation, infiltration, evapotranspiration, ground water, and runoff. Unit Hydrograph theory and routing methods. Introduction to precipitation/runoff relationship and watershed modeling. Statistical methods and flood frequency analysis.",ENGRCEE 170 or ENGRMAE 130A,Civil Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,ENGRCEE 276.,,,,
Civil and Environmental Engineering,ENGRCEE,178,Fluid Mechanics of Open Channels,4,,"Fundamentals of fluid motion in open channels. Navier-Stokes equations and one-dimensional momentum and energy principles. Topics include rapidly varied flow, flow resistance and turbulence, gradually varied flow, unsteady flow, and computational methods for channel flow modeling.",(ENGRCEE 20 or BME 60B or ENGRMAE 10) and (ENGRCEE 170 or ENGRMAE 130A or CBE 120A),Civil Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,181A,Senior Design Practicum I,2,,"Team designs land development project including infrastructural, environmental, circulation aspects. Focus on traffic impact studies, design of roads, geometry, signals, geotechnical and hydrological analysis, design of structural elements, economic analysis. Oral/Written interim and final design reports. Laboratory sessions.",ENGRCEE 81A and ENGRCEE 81B and ENGRCEE 110 and (ENGRCEE 121 or ENGRCEE 151C or ENGRCEE 162 or ENGRCEE 171). ENGRCEE 181A and ENGRCEE 181B and ENGRCEE 181C must be taken in the same academic year.,Seniors only. Civil Engineering Majors only. Environmental Engineering Majors only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,181B,Senior Design Practicum II,2,,"Team designs land development project including infrastructural, environmental, circulation aspects. Focus on traffic impact studies, design of roads, geometry, signals, geotechnical and hydrological analysis, design of structural elements, economic analysis. Oral/Written interim and final design reports. Laboratory sessions.",ENGRENGRCEE 181A. CEE 181A and ENGRCEE 181B and ENGRCEE 181C must be taken in the same academic year.,Seniors only. Civil Engineering Majors only. Environmental Engineering Majors only.,,,,In Progress (Letter Grade with P/NP).,,ENGRCEE 130,
Civil and Environmental Engineering,ENGRCEE,181C,Senior Design Practicum III,2,,"Team designs land development project including infrastructural, environmental, circulation aspects. Focus on traffic impact studies, design of roads, geometry, signals, geotechnical and hydrological analysis, design of structural elements, economic analysis. Oral/Written interim and final design reports. Laboratory sessions.",ENGRENGRCEE 181B. ENGRCEE 181A and CEE 181B and ENGRCEE 181C must be taken in the same academic year.,Seniors only. Civil Engineering Majors only. Environmental Engineering Majors only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,195,Special Topics in Civil and Environmental Engineering,1-4,,Studies in selected areas of Civil and Environmental Engineering. Topics addressed vary each quarter.,Prerequisites vary.,,,,,,Unlimited as topics vary.,,
Civil and Environmental Engineering,ENGRCEE,198,Group Study,1-4,,Group study of selected topics in Civil and Environmental Engineering.,,Upper-division students only.,,,,,May be repeated for credit unlimited times.,,
Civil and Environmental Engineering,ENGRCEE,199,Individual Study,1-4,,"For undergraduate Engineering majors in supervised but independent reading, research, or design. Students taking individual study for design credit are to submit a written paper to the instructor and to the Undergraduate Student Affairs Office in the School of Engineering.",,,,,,,May be taken for credit for 8 units.,,
Civil and Environmental Engineering,ENGRCEE,199P,Individual Study,1-4,,"Supervised independent reading, research, or design for undergraduate Engineering majors. Students taking individual study for design credit are to submit a written paper to the instructor and to the Undergraduate Student Affairs Office in the School of Engineering.",,,,,,Pass/no pass only.,May be repeated for credit unlimited times.,,
Civil and Environmental Engineering,ENGRCEE,214,GIS for Civil and Environmental Engineering,4,,"GIS for CEE provides an introduction to Geographic Information Systems (GIS) and their various applications in civil and environmental engineering. Topics include GIS data formats, data queries, spatial and attribute data, spatial data analysis, coordinate systems, raster data analysis.",,,,,ENGRCEE 114.,,,,
Civil and Environmental Engineering,ENGRCEE,220A,Travel Demand Analysis I,4,,"Fundamentals of transportation systems analysis. Theoretical aspects of travel demand. Travel behavior. Modeling of performance characteristics and costs of transportation modes. In-depth presentation of travel demand modeling techniques. Development of travel choice models including mode, route, and destination choice. Equilibrium.",,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,220B,Travel Demand Analysis II,4,,Methods of discrete choice analysis and their applications in the modeling of transportation systems. Emphasis on the development of a sound understanding of theoretical aspects of discrete choice modeling that are useful in many applications in travel demand analysis.,ENGRCEE 220A,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,220C,Travel Demand Analysis III: Activity-based Approaches,4,,"The methodological underpinnings of activity-based travel demand modeling.  Presents methodologies within the context of a generalization of discrete choice modeling approaches, emphasizing the distinctions that separtate these two approaches and presenting appropriate mathematical and statistical tools to address these distinctions.",ENGRCEE 220A,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,221A,Transportation Systems Analysis I,4,,"Introduction to mathematical methods and models to address logistics and urban transportation problems. Techniques include stochastic models, queueing theory, linear programming, and introductory non-linear optimization.",,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,221B,Transportation Systems Analysis II,4,,"Advanced mathematical methods and models to address logistics and urban transportation problems. Topics include network flows, advanced optimization techniques, network models, and heuristic algorithms.",ENGRCEE 221A,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,222,Transit Systems Planning,4,,"Planning methods for public transportation in urban areas. Technological and operating characteristics of vehicles, facilities, and systems.  Short-range planning techniques: data collection and analysis, demand analysis, mode choice, operational strategies, financial analysis.  Design of systems to improve performance.",,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,223,Transportation Systems III: Planning and Forecasting,4,,"Theoretical foundations of transportation planning, design, and analysis methods. Theory and application of aggregate and disaggregate models for land use development, trip generation, destination, mode, and route choice. Transportation network analysis. Planning, design, and evaluation of system alternatives.",,Graduate students only.,,,ENGRCEE 123.,,,,
Civil and Environmental Engineering,ENGRCEE,224A,Transportation Data Analysis I,4,,"Statistical analysis of transportation data sources. Analysis of categorical and ordinal data. Regression and advanced multivariate analysis methods such as discriminant analysis, canonical correlation, and factor analysis. Sampling techniques, sample error and bias, survey instrument design.",,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,225B,Transportation Planning Models II,4,,"Design and application of comprehensive transportation models. Network development, demand modeling, and equilibrium assignment. Model calibration, validation, prediction, and evaluation. Regional modeling, site impact analysis, and circulation studies. Design of transportation alternatives.",ENGRCEE 223,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,226A,Traffic Flow Theory I,4,,Traffic measurement and fundamental speed-density-flow relationships. Kinematic models. Shock waves. Statistical-kinetic theory of traffic. Introductory car-following principles and stability. Gap acceptance. Platoon dispersion.  Two-fluid model. Queueing process. Multi-regime and catastrophe models.  Higher-order continuum models. Microscopic and macroscopic simulation.,,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,226B,Traffic Flow Theory II,4,,Advanced mathematical analysis of vehicular flow. Detailed treatise on car-following models. Fourier and Laplace analysis of stability problems. Perturbation analysis. Derivation of macroscopic traffic flow relationships from microscopic considerations. Advanced hydrodynamic theory.,ENGRCEE 226A,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,228A,Urban Transportation Networks I,4,,"Analytical approaches and algorithms to the formulation and solution of the equilibrium assignment problem for transportation networks. Emphasis on user equilibrium (UE) comparison with system optimal, mathematical programming formulation, supply functions, estimation. Estimating origin-destination matrices, network design problems.",ENGRCEE 220A,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,228B,Urban Transportation Networks II,4,,"Advanced analysis, optimization, and modeling of transportation networks. Topics include advanced static and dynamic traffic assignment algorithms, linear and nonlinear multi-commodity network flow optimization, network simplex, and network control problems.",ENGRCEE 221A and ENGRCEE 228A,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,229A,Traffic Systems Operations and Control I,4,,"Introduction to operation, control, and analysis of arterial and freeway traffic systems.  Control concepts, traffic stream principles, detectors, local controllers, system masters, traffic signal and ramp metering timing principles, traffic measurement technologies, traffic delay principles.",,Graduate students only.,,,ENGRCEE 122.,,,,
Civil and Environmental Engineering,ENGRCEE,229B,Traffic Systems Operations and Control II,4,,"Advanced topics related to operation, control, and analysis of arterial and freeway traffic systems. Control concepts, traffic stream principles, detectors, local controllers, system masters, traffic signal and ramp metering timing principles.",ENGRCEE 229A,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,231,Foundation Engineering,4,,"Essentials for design and analysis of structural members that transmit superstructure loads to the ground. Topics include subsurface investigations, excavation, dewatering, bracing, footing, mat foundations, piles and pile foundations, caissons and cofferdams, other special foundations.",,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,232,Geotech Earthquake Engineering,4,,"In-situ and laboratory determination of dynamic soil properties, liquefaction of soil, cyclic softening of clays, seismic compression and settlement analyses, ground improvement methods, seismic slope stability, introduction to soil structure interaction.",,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,240,High Performance Materials,4,,"Part I: Linear and nonlinear fracture mechanics, methodology, real-world case studies; Part II: Composite material toughening, underlying micromechanics, materials engineering towards microstructure tailoring and new material design approaches; Part III: Emerging high-performance engineering materials for safety, energy and the environment.",,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,242,Advanced Strength of Materials,4,,Beams on elastic foundations. Combined axial and lateral loads. Curved beams. Unsymmetric bending. Shear center. Stresses and strains. Basic equations for theory of elasticity. Energy principles. Theory of torsion. Combined bending and torsion.,,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,243,Mechanics of Composite Materials,4,,Stress-strain relationship for orthotropic materials; invariant properties of an orthotropic lamina; biaxial strength theory for an orthotropic lamina; mechanics of materials approach to stiffness; elasticity approach to stiffness; classical lamination theory; strength of laminates; statistical theory of fatigue damage.,,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,247,Structural Dynamics,4,,"Vibration of discrete and continuous mass elastic systems. Isolation and transmissability. Dynamic recording instruments. Introduction to nonlinear theory of vibration. Response of structures to earthquake, traffic, and wind loads. Response spectra concepts. Normal mode analysis. Numerical integration techniques.",,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,249,Earthquake Engineering,4,,"Earthquake magnitude, intensity, and frequency. Seismic damage to structures. Earthquake load prediction including response spectra, normal mode, and direct integration techniques. The basis of building code earthquake load requirements for buildings. Seismic response of special structures. Lifeline engineering.",,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,250,Finite Element Method in Structural Engineering,4,,"Finite element concepts in structural engineering including variational formulations, shape functions, elements assembly, convergence and computer programming. Stiffness of truss, beam, and frame members, two- and three-dimensional solids, plate and shell elements. Static, vibration, stability, and inelastic analysis.",,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,251,Performance-Based Structural Engineering,4,,Introduction and implementation of current approaches in performance-based assessment and design of building structures. Emphasis is on applied and evolving methods and tools for exercising performance-based engineering of building structures.,ENGRCEE 247 and ENGRCEE 249,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,252,Multiscale Modeling of Materials and Structures,4,,Introduction to modeling materials and structures across length.,,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,254,Advanced Reinforced Concrete Behavior and Design,4,,Flexural strength of reinforced concrete elements. Flexural ductility of unconfined and confined members with axial loads. Shear and torsional behaviors. Strength of reinforced concrete ductile frames and shear walls. Reinforced concrete detailing.,,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,255,Advanced Behavior and Design of Steel Structures,4,,"Advanced principles of structural steel design. Analysis and design of beam-column members, braced and unbraced frames for buildings, and plate girders. Review of seismic design provisions. Design of connections.",,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,258,Earthquake Resistant Structural Design,4,,"Objectives of seismic design. Cyclic load-distortion characteristics of typical structural elements. Desirable structural form. Ductility and methods of achieving it. Use of energy dissipators. Project involving design of multistory, multibay rigid-jointed plane frame.",,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,260,Desalination,4,,"Introduction of state of technology, costs and benefits, environmental issues, and implementation issues related to desalination. Emphasis on membrane processes and biofouling prevention.",,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,261,Applied Environmental Microbiology,4,,Microbes in the environment and their impact on human interactions. Microbiological  application in solving environmental engineering problems.,,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,262,Environmental Chemistry II,4,,"Advanced concepts from physical and organic chemistry as they relate to environmental engineering. Emphasis on equilibrium and kinetics as they apply to redox reactions, coordination, absorption, gas phase reactions, and ion exchange.",,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,263,Advanced Biological Treatment Processes,4,,"Analysis of biological processes in natural and engineered systems. Biological treatment processes, both aerobic and anaerobic, with emphasis on suspended growth systems including design consideration. Containment degradation or control covered. Includes laboratory on molecular tools used in wastewater treatment.",,Graduate students only.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,264,Carbon and Energy Footprint Analysis,4,,"Process design for wastewater treatment. Mass- and energy- balance analysis applied to water and wastewater treatment systems. Case studies include analysis of water supply, treatment, reclamation, and reuse.",,Graduate students only.,,,ENGRCEE 164.,,,,
